Review_ID,Sentiment,Rating,Review_Text
1,Positive,5,The new GPT-5.2 'Thinking' mode is insane for coding. It actually catches logic errors before I run the script.
2,Negative,1,I can't believe they sunsetted 4o. The 5.2 model is way too clinical and lost all the creative spark for my creative writing.
3,Positive,5,ChatGPT Go is exactly what I needed. $20 was too much but the new lower tier gives me the power I need for daily tasks.
4,Negative,2,The recent news about the Department of War partnership is a dealbreaker for me. Privacy feels like a joke now.
5,Positive,4,The Memory feature finally works across all my devices. It remembered my brand voice from a chat three months ago!
6,Negative,1,"Constant 'Internal Server Error' today. For a Pro subscriber paying $200 a month, this uptime is pathetic."
7,Positive,5,Voice mode in 2026 feels like talking to a real human. The latency is basically zero now.
8,Negative,2,It's hallucinating citations again. I asked for academic sources and it gave me three books that don't exist.
9,Positive,5,Prism is the best research workspace I've ever used. Having the drafting and sourcing in one view is a life saver.
10,Negative,1,The ads for free users are so intrusive. I was trying to solve a math problem and got a pop-up for a calculator app.
11,Positive,5,The deep research mode is a beast. It spent 5 minutes 'thinking' and produced a 10-page report that was 90% accurate.
12,Negative,3,It’s getting way too censored. I can’t even write a fictional thriller without it lecturing me on safety guidelines.
13,Positive,4,I love the new 'Task' scheduling. It sends me a summary of my project notes every Sunday night automatically.
14,Negative,2,"The mobile app still lags when the chat history gets too long. It’s 2026, fix the optimization already."
15,Positive,5,Using the Realtime API to build my own customer bot was surprisingly easy. The documentation is top-notch.
16,Negative,1,It forgot my project instructions halfway through the session. The 'Long-term Memory' is clearly not that long.
17,Positive,5,GPT-5.2 Instant is so much faster than the old Turbo models. It’s basically instantaneous for email drafts.
18,Negative,2,The 'Thinking' toggle is just a way to charge us more for speed. Standard mode feels intentionally throttled now.
19,Positive,4,The integration with my Google Drive is finally seamless. No more manual copy-pasting of my spreadsheets.
20,Negative,1,Uninstalled after the military deal news. Switching to Claude where they actually care about AI ethics.
21,Positive,5,The vision capabilities are incredible. I pointed my camera at my broken dishwasher and it gave me a step-by-step fix.
22,Negative,2,"It’s becoming a bit of a 'Yes Man.' It doesn’t challenge my bad ideas anymore, just agrees with whatever I prompt."
23,Positive,5,"As a student, the age-appropriate safety filters give my parents peace of mind while I use it for homework."
24,Negative,1,I hate the new UI layout. Why is the chat history hidden behind three menus now? Stop overcomplicating things.
25,Positive,4,The translation quality for slang and idioms has improved significantly. Much better than Google Translate.
26,Negative,2,It’s too wordy. I ask for a 'yes' or 'no' and get four paragraphs of 'As an AI language model...'
27,Positive,5,The Canvas feature for co-authoring is brilliant. It’s like Google Docs but with a genius sitting next to you.
28,Negative,3,"The price for the Pro tier is astronomical. $200/month is only for corporations, leaving power users in the dust."
29,Positive,5,The 'Connectors' feature allowed it to read my GitHub repo and explain the legacy code in minutes. Saved me weeks.
30,Negative,1,"It’s weirdly biased lately. Depending on how I phrase a political question, the tone shifts dramatically."
31,Positive,4,The new 'Lockdown Mode' for privacy is a great addition for when I'm working on sensitive client data.
32,Negative,2,The voice sounds too robotic again after the last update. They took a step backward on the emotional prosody.
33,Positive,5,I use it for meal planning every week. It takes my grocery list and generates 7 days of recipes in seconds.
34,Negative,1,Failed my coding interview because it gave me an O(n^2) solution when I specifically asked for O(log n).
35,Positive,5,The SVG generation is finally working. I can ask for a logo and get a scalable file I can actually use.
36,Negative,2,"Still no true offline mode. If my internet drops for a second, the whole generation process fails and I lose the text."
37,Positive,4,The 'Explore' page for custom GPTs is much better organized now. Found a great legal assistant tool in seconds.
38,Negative,1,OpenAI's communication is terrible. They make major model changes overnight without notifying the developers.
39,Positive,5,The sentiment analysis tool for my business reviews has helped us identify exactly why customers are churnning.
40,Negative,3,It’s too 'eager to please.' It will agree with a factually incorrect statement just because I suggested it.
41,Positive,5,The 'Prism' environment is a game changer for my PhD thesis. The citation management is actually reliable now.
42,Negative,1,I’m paying for Plus and still getting 'at capacity' messages. What is the point of the subscription?
43,Positive,4,The new math engine is much better at calculus. It finally explains the 'why' behind the steps properly.
44,Negative,2,The 'Safety' flags are triggered by the most mundane things. I can't even write about a doctor's visit.
45,Positive,5,The dark mode is finally a true 'OLED' black. My eyes thank the developers for this small but vital update.
46,Negative,1,It’s clearly being trained on its own output now. The quality of prose is getting more generic every month.
47,Positive,5,The multi-modal search is great. It can search the web and my private PDFs at the same time for one answer.
48,Negative,2,The UI feels cluttered with too many 'upsell' buttons for the Pro and Enterprise tiers.
49,Positive,5,The real-time translation during my Zoom calls has opened up so many international business opportunities.
50,Negative,1,It lacks 'soul.' The 2026 models feel more like an encyclopedia and less like a creative partner.
51,Positive,5,UI layout works flawlessly. I use it every day for debug scripts.
52,Negative,2,Too many bugs in API integration. It failed when I tried to debug scripts.
53,Negative,3,I'm disappointed with canvas. It makes study for exams frustrating.
54,Negative,1,Too many bugs in documentation. It failed when I tried to debug scripts.
55,Positive,5,I'm really impressed with translation. It makes study for exams much easier.
56,Negative,3,Too many bugs in UI layout. It failed when I tried to plan projects.
57,Positive,4,memory works flawlessly. I use it every day for organize notes.
58,Positive,5,Using translation saved me a lot of time when prepare a report.
59,Positive,5,Using canvas saved me a lot of time when analyze data.
60,Positive,5,Using voice mode saved me a lot of time when debug scripts.
61,Positive,5,mobile app works flawlessly. I use it every day for study for exams.
62,Negative,2,The latest update broke file upload and now write code is difficult.
63,Positive,4,mobile app works flawlessly. I use it every day for debug scripts.
64,Positive,5,The improvements in search are noticeable and very helpful for plan projects.
65,Positive,5,I'm really impressed with vision tool. It makes prepare a report much easier.
66,Positive,5,mobile app works flawlessly. I use it every day for translate conversations.
67,Negative,2,I'm disappointed with vision tool. It makes prepare a report frustrating.
68,Negative,1,canvas feels unfinished. I expected better when trying to analyze data.
69,Positive,5,The translation feature is fantastic. It helped me write better code.
70,Negative,2,I'm disappointed with API integration. It makes plan projects frustrating.
71,Negative,1,I'm disappointed with documentation. It makes study for exams frustrating.
72,Negative,1,Too many bugs in API integration. It failed when I tried to plan projects.
73,Negative,2,Too many bugs in vision tool. It failed when I tried to debug scripts.
74,Positive,4,I'm really impressed with task scheduling. It makes translate conversations much easier.
75,Positive,4,Using voice mode saved me a lot of time when finish my homework.
76,Negative,1,The latest update broke task scheduling and now study for exams is difficult.
77,Negative,1,mobile app still has issues. I couldn't properly organize notes.
78,Negative,2,search feels unfinished. I expected better when trying to organize notes.
79,Negative,1,voice mode still has issues. I couldn't properly analyze data.
80,Negative,1,Too many bugs in search. It failed when I tried to debug scripts.
81,Positive,5,Using connectors saved me a lot of time when plan projects.
82,Positive,4,I'm really impressed with canvas. It makes draft emails much easier.
83,Positive,4,The improvements in real‑time responses are noticeable and very helpful for plan projects.
84,Positive,4,Using UI layout saved me a lot of time when draft emails.
85,Positive,4,The UI layout feature is fantastic. It helped me debug issues quickly.
86,Positive,4,The improvements in API integration are noticeable and very helpful for plan projects.
87,Positive,5,The improvements in search are noticeable and very helpful for write code.
88,Negative,2,I'm disappointed with real‑time responses. It makes draft emails frustrating.
89,Positive,5,Using dark mode saved me a lot of time when translate conversations.
90,Negative,3,I'm disappointed with thinking mode. It makes draft emails frustrating.
91,Negative,2,I'm disappointed with connectors. It makes debug scripts frustrating.
92,Positive,5,canvas works flawlessly. I use it every day for translate conversations.
93,Positive,5,translation works flawlessly. I use it every day for debug scripts.
94,Positive,5,Using mobile app saved me a lot of time when finish my homework.
95,Negative,3,API integration feels unfinished. I expected better when trying to finish my homework.
96,Positive,4,The connectors feature is fantastic. It helped me organize my work efficiently.
97,Negative,1,translation feels unfinished. I expected better when trying to finish my homework.
98,Positive,4,I'm really impressed with search. It makes organize notes much easier.
99,Positive,4,I'm really impressed with memory. It makes draft emails much easier.
100,Positive,5,I'm really impressed with real‑time responses. It makes plan projects much easier.
101,Positive,5,voice mode works flawlessly. I use it every day for translate conversations.
102,Positive,4,connectors works flawlessly. I use it every day for debug scripts.
103,Positive,5,code assistant works flawlessly. I use it every day for organize notes.
104,Positive,4,I'm really impressed with UI layout. It makes study for exams much easier.
105,Negative,2,dark mode still has issues. I couldn't properly plan projects.
106,Positive,4,The thinking mode feature is fantastic. It helped me debug issues quickly.
107,Negative,3,documentation still has issues. I couldn't properly finish my homework.
108,Negative,3,Too many bugs in translation. It failed when I tried to plan projects.
109,Negative,2,translation still has issues. I couldn't properly finish my homework.
110,Positive,4,vision tool works flawlessly. I use it every day for draft emails.
111,Positive,4,The improvements in translation are noticeable and very helpful for finish my homework.
112,Positive,5,code assistant works flawlessly. I use it every day for organize notes.
113,Negative,1,Too many bugs in search. It failed when I tried to plan projects.
114,Positive,4,I'm really impressed with thinking mode. It makes debug scripts much easier.
115,Positive,4,The improvements in documentation are noticeable and very helpful for study for exams.
116,Positive,5,Using vision tool saved me a lot of time when write code.
117,Positive,5,I'm really impressed with translation. It makes translate conversations much easier.
118,Positive,4,I'm really impressed with voice mode. It makes translate conversations much easier.
119,Negative,3,I'm disappointed with thinking mode. It makes write code frustrating.
120,Positive,5,Using documentation saved me a lot of time when analyze data.
121,Positive,4,The documentation feature is fantastic. It helped me finish tasks faster.
122,Negative,2,The latest update broke real‑time responses and now finish my homework is difficult.
123,Positive,5,canvas works flawlessly. I use it every day for finish my homework.
124,Positive,4,The translation feature is fantastic. It helped me finish tasks faster.
125,Positive,5,I'm really impressed with memory. It makes translate conversations much easier.
126,Positive,5,The improvements in voice mode are noticeable and very helpful for plan projects.
127,Negative,1,Too many bugs in file upload. It failed when I tried to organize notes.
128,Positive,5,Using memory saved me a lot of time when prepare a report.
129,Positive,5,Using API integration saved me a lot of time when write code.
130,Negative,3,canvas still has issues. I couldn't properly translate conversations.
131,Negative,3,connectors feels unfinished. I expected better when trying to prepare a report.
